CÓDIGO ACCIDENTE;CÓDIGO VEHÍCULO;CÓDIGO PERSONA;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO PERSONA;GRAVEDAD;LUGAR ATENCIÓN LESIONADO;LUGAR DE DEFUNCIÓN;SITUACIÓN DE PERSONA;PAÍS DE NACIONALIDAD;OTRO PAÍS DE NACIONALIDAD;EDAD;SEXO;POSEE LICENCIA;ESTADO LICENCIA;CLASE_LICENCIA;¿SE SOMETIÓ A DOSAJE ETÍLICO CUALITATIVO?;RESULTADO DEL DOSAJE ETÍLICO CUALITATIVO;¿SE SOMETIÓ A DOSAJE ETÍLICO CUANTITATIVO?;VEHÍCULO;FECHA;AÑO;MES;DIA;HORA;CLASE DE SINIESTRO;CAUSA    ;CAUSA ESPECIFICA     
A-2021-01-22;V-2021-01-22-1;P-2021-01-22-1-1;SAN MARTIN;RIOJA;RIOJA;CONDUCTOR;FALLECIDO;NO CORRESPONDE;EN EL CENTRO DE SALUD;IDENTIFICADO;PERÚ;NO CORRESPONDE;71;MASCULINO;SI;SIN LICENCIA;SIN LICENCIA;NO;NO CORRESPONDE;SI;MOTOCICLETA;1/01/2021;2021;ENERO;VIERNES;17;CHOQUE;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN SENTIDO CONTRARIO
A-2021-01-22;V-2021-01-22-2;P-2021-01-22-2-1;SAN MARTIN;RIOJA;RIOJA;CONDUCTOR;LESIONADO;OTRO;NO CORRESPONDE;IDENTIFICADO;PERÚ;NO CORRESPONDE;23;MASCULINO;NO;SIN LICENCIA;SIN LICENCIA;SI;NEGATIVO;SI;MOTOCICLETA;1/01/2021;2021;ENERO;VIERNES;17;CHOQUE;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN SENTIDO CONTRARIO
A-2021-01-248;V-2021-01-248-1;P-2021-01-248-1-4;LIMA;LIMA;PACHACAMAC;PASAJERO;LESIONADO;CENTRO DE SALUD PÚBLICO;NO CORRESPONDE;IDENTIFICADO;PERÚ;NO CORRESPONDE;67;MASCULINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO;NO CORRESPONDE;NO;TRIMOTO PASAJERO;1/01/2021;2021;ENERO;VIERNES;5;DESPISTE;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-01-248;V-2021-01-248-1;P-2021-01-248-1-3;LIMA;LIMA;PACHACAMAC;PASAJERO;LESIONADO;CENTRO DE SALUD PÚBLICO;NO CORRESPONDE;IDENTIFICADO;PERÚ;NO CORRESPONDE;1;MASCULINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO;NO CORRESPONDE;NO;TRIMOTO PASAJERO;1/01/2021;2021;ENERO;VIERNES;5;DESPISTE;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-01-248;V-2021-01-248-1;P-2021-01-248-1-2;LIMA;LIMA;PACHACAMAC;PASAJERO;FALLECIDO;NO CORRESPONDE;EN EL LUGAR DE LOS HECHOS;IDENTIFICADO;PERÚ;NO CORRESPONDE;28;FEMENINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;SI;POSITIVO;NO;TRIMOTO PASAJERO;1/01/2021;2021;ENERO;VIERNES;5;DESPISTE;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-01-248;V-2021-01-248-1;P-2021-01-248-1-1;LIMA;LIMA;PACHACAMAC;CONDUCTOR;LESIONADO;CENTRO DE SALUD PÚBLICO;NO CORRESPONDE;IDENTIFICADO;PERÚ;NO CORRESPONDE;28;MASCULINO;SI;VIGENTE;B IIc;SI;POSITIVO;SI;TRIMOTO PASAJERO;1/01/2021;2021;ENERO;VIERNES;5;DESPISTE;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-01-254;V-2021-01-254-1;P-2021-01-254-1-1;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;CONDUCTOR;LESIONADO;CENTRO DE SALUD PÚBLICO;NO CORRESPONDE;IDENTIFICADO;OTRO;VENEZUELA;30;MASCULINO;SI;SIN LICENCIA;SIN LICENCIA;SI;POSITIVO;SI;MOTOCICLETA;1/01/2021;2021;ENERO;VIERNES;14;ATROPELLO;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-01-254;V-2021-01-254-1;P-2021-01-254-1-2;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;PEATÓN;FALLECIDO;NO CORRESPONDE;EN EL LUGAR DE LOS HECHOS;IDENTIFICADO;PERÚ;NO CORRESPONDE;18;MASCULINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO;NO CORRESPONDE;NO;MOTOCICLETA;1/01/2021;2021;ENERO;VIERNES;14;ATROPELLO;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-01-38;V-2021-01-38-1;P-2021-01-38-1-2;LA LIBERTAD;VIRU;VIRU;PEATÓN;FALLECIDO;NO CORRESPONDE;EN EL LUGAR DE LOS HECHOS;IDENTIFICADO;PERÚ;NO CORRESPONDE;40;MASCULINO;NO CONDUCTOR;NO CONDUCTOR;NO CONDUCTOR;NO;NO CORRESPONDE;NO;VEHÍCULO NO IDENTIFICADO;1/01/2021;2021;ENERO;VIERNES;6;ATROPELLO FUGA;NO IDENTIFICA LA CAUSA;NO INDICA
A-2021-01-39;V-2021-01-39-2;P-2021-01-39-2-1;LA LIBERTAD;VIRU;VIRU;CONDUCTOR FUGADO;NO SE CONOCE;;EN EL LUGAR DE LOS HECHOS;NO IDENTIFICADO;PERÚ;NO CORRESPONDE;N/I;N/I;;FUGADO;FUGADO;NO;NO CORRESPONDE;NO;MOTOCICLETA;1/01/2021;2021;ENERO;VIERNES;7;CHOQUE;IMPRUDENCIA DEL CONDUCTOR;GIRAR IMPRUDENTEMENTE
